客户编号,A1,A3,A4,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A20
61,,X320528,130000,99.0,XW0,X1,,,1,T2,1,ZC4,-0.1732604666760052,2179 days,,A2
62,,X222121,520000,99.0,XW9,,,,1,T0,4,,-0.1732604666760052,3076 days,,A2
63,,X323023,530000,99.0,XW9,,,,1,T0,3,ZC9,-0.1732604666760052,3009 days,,A2
64,,X400703,340000,30.0,XW0,,,B,2018,T0,N,ZC9,-0.1732604666760052,3197 days,,A2
65,,X210115,420000,99.0,XW9,X1,,,1,T0,6,ZC9,-0.1732604666760052,1964 days,,A2
66,,X421625,440000,30.0,XW0,,,B,2017,T0,3,ZC9,-0.1732604666760052,2991 days,,A2
67,A9,X520425,350000,30.0,XW0,,,B,1,T0,N,ZC3,-0.1732604666760052,3608 days,,A2
68,,X222424,520000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3214 days,,A2
69,,X103401,510000,20.0,XW0,X1,,,2005,T2,1,ZC9,-0.1732604666760052,1989 days,,A2
70,,X220322,420000,99.0,XW0,X1,,,1,T1,5,ZC3,-0.1732604666760052,2128 days,,A2
71,,X510111,450000,30.0,XW0,,,B,2020,T0,N,,-0.1732604666760052,3280 days,,A2
72,,X123723,510000,99.0,XW9,,,,1,T0,6,ZC0,-0.1732604666760052,3035 days,,A2
73,,X320723,130000,30.0,XW0,,,B,2018,T0,N,ZC9,-0.1732604666760052,2651 days,,A2
74,,X480583,440000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2830 days,,A2
75,,X120626,510000,99.0,XW9,X1,,,1,T2,6,ZC9,-0.1732604666760052,2132 days,,A2
76,A9,X322325,530000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3573 days,,A2
77,A9,X524225,650000,30.0,XW0,,,B,2020,T0,N,,-0.1732604666760052,3364 days,,A2
78,,X123025,510000,99.0,XW0,X1,,,1,T2,1,ZC3,-0.1732604666760052,2116 days,,A2
79,,X120923,510000,99.0,XW9,X1,,,1,T1,6,,-0.1732604666760052,2070 days,,A2
80,,X580881,450000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3150 days,,A2
81,,X121024,510000,99.0,XW0,X1,,,1,T2,5,ZC9,-0.1732604666760052,2364 days,,A2
82,,X320625,130000,99.0,XW0,X1,,,1,T1,3,ZC3,-0.1732604666760052,1987 days,,A2
83,,X030234,500000,99.0,XW0,X1,,,1,T1,N,ZC3,-0.1732604666760052,1914 days,,A2
84,,X121623,510000,99.0,XW9,X1,,,1,T0,5,ZC3,-0.1732604666760052,1962 days,,A2
85,,X420227,140000,99.0,XW9,X1,,,1,T0,3,,-0.1732604666760052,2073 days,,A2
86,,X101302,510000,99.0,XW9,X1,,,1,T0,3,,-0.1732604666760052,2972 days,,A2
87,,X110214,510000,99.0,XW9,X1,,,1,T0,4,ZC0,-0.1732604666760052,1998 days,O8070,A2
88,,X121623,510000,99.0,XW0,X1,,,1,T2,0,ZC4,-0.1732604666760052,2231 days,,A2
89,,X720724,370000,30.0,XW0,,,B,2011,T0,4,ZC0,-0.1732604666760052,2982 days,,A2
90,,X301003,430000,99.0,XW9,,,,1,T0,N,ZC0,-0.1732604666760052,2975 days,,A2
91,,X721326,370000,99.0,XW0,X1,,,1,T2,6,ZC9,-0.1732604666760052,2512 days,,A2
92,,X401502,440000,99.0,XW9,,,,1,T0,3,,-0.1732604666760052,3062 days,,A2
93,A9,X420123,340000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3357 days,,A2
94,,X421521,440000,99.0,XW9,,,,1,T0,4,,-0.1732604666760052,2693 days,,A2
95,A9,X322524,430000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3576 days,,A2
96,A9,X400104,140000,99.0,XW9,,,B,1,T0,N,ZC9,-0.1732604666760052,3616 days,,A2
97,,X281282,320000,20.0,XW4,,,B,1,T0,N,ZC9,-0.1732604666760052,3107 days,,A0
98,,X520526,350000,99.0,XW9,,,,1,T2,3,ZC9,-0.1732604666760052,2682 days,,A2
99,,X120521,510000,99.0,XW0,X1,,,1,T2,3,ZC4,-0.1732604666760052,2143 days,,A2
100,,X330133,130000,30.0,XW0,X1,,,2017,T1,4,ZC9,-0.1732604666760052,2188 days,,A2
101,,X480183,440000,99.0,XW9,X1,,,1,T0,1,ZC9,-0.1732604666760052,2094 days,,A2
102,,X130131,510000,40.0,XW0,X1,,,1,T2,5,ZC9,5.642887922363688,2094 days,,A2
103,,X122929,410000,99.0,XW9,,,,1,T0,4,ZC9,-0.1732604666760052,2818 days,,A2
104,,X780284,370000,99.0,XW0,X1,,,1,T1,3,ZC9,-0.1732604666760052,2144 days,,A2
105,,X103701,510000,99.0,XW9,X1,,,1,T0,1,ZC0,-0.1732604666760052,1916 days,,A2
106,,X520722,450000,99.0,XW9,,,,1,T0,6,ZC3,-0.1732604666760052,2958 days,,A2
107,,X580981,450000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3296 days,,A2
108,,X220822,420000,99.0,XW9,,,,1,T0,6,ZC3,-0.1732604666760052,2929 days,,A2
109,,X020228,500000,99.0,XW0,X1,,,1,T1,5,ZC3,-0.1732604666760052,2236 days,,A2
110,,X030237,500000,99.0,XW0,X1,,,1,T2,3,ZC9,-0.1732604666760052,2775 days,,A2
111,,X721521,370000,99.0,XW9,,,,1,T0,1,ZC9,-0.1732604666760052,2972 days,,A2
112,,X780284,370000,99.0,XW0,X1,,,1,T1,N,ZC9,-0.1732604666760052,2124 days,,A2
113,,X101602,510000,99.0,XW9,X1,,,1,T0,6,,-0.1732604666760052,3168 days,,A2
114,,X222722,520000,99.0,XW0,X1,,,1,T2,6,ZC9,-0.1732604666760052,2098 days,,A2
115,,X220121,520000,30.0,XW0,,,B,2015,T0,6,ZC9,-0.1732604666760052,3046 days,,A2
116,,X320626,130000,99.0,XW0,X1,,,1,T2,N,ZC0,-0.1732604666760052,1981 days,,A2
117,,X123821,510000,60.0,XW0,X1,,,1,T1,1,ZC9,-0.1732604666760052,2290 days,,A2
118,,X422223,140000,99.0,XW9,X1,,,1,T1,3,ZC1,-0.1732604666760052,1970 days,,A2
119,,X330434,130000,99.0,XW9,X1,,,1,T0,6,,-0.1732604666760052,2162 days,,A2
120,,X610313,360000,99.0,XW9,X1,,,1,T1,5,ZC0,-0.1732604666760052,1971 days,,A2
121,,X620726,360000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2982 days,,A2
122,,X103902,510000,99.0,XW9,X1,,,1,T0,3,ZC9,-0.1732604666760052,2159 days,,A2
123,,X380683,130000,60.0,XW0,X1,,,1,T1,4,ZC9,-0.1732604666760052,1980 days,,A2
124,,X281181,420000,20.0,XW0,X1,,B,2014,T1,4,ZC4,-0.1732604666760052,2304 days,,A2
125,,X322623,530000,20.0,XW4,X1,,B,2020,T0,N,ZC9,-0.1732604666760052,3291 days,,A2
126,,X120321,210000,99.0,XW0,,,,1,T2,4,ZC9,-0.1732604666760052,2672 days,,A2
127,,X580182,350000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3263 days,,A2
128,,X120222,110000,99.0,XW9,X1,,,1,T0,6,ZC9,-0.1732604666760052,2308 days,,A2
129,,X310419,430000,60.0,XW0,,,,1,T1,6,ZC9,-0.1732604666760052,2912 days,,A2
130,,X630033,460000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3349 days,,A2
131,,X222427,620000,99.0,XW9,X1,,,1,T0,M,,-0.1732604666760052,2194 days,,A2
132,,X132532,510000,99.0,XW9,X1,,,1,T0,5,ZC9,-0.1732604666760052,2134 days,,A2
133,,X485281,440000,99.0,XW9,X1,,,1,T0,1,ZC9,-0.1732604666760052,1980 days,,A2
134,,X402201,140000,20.0,XW4,,,B,2019,T0,3,,-0.1732604666760052,3001 days,,A2
135,,X421224,440000,70.0,XW9,,,,1,T0,5,ZC9,-0.1732604666760052,2885 days,,A2
136,,X120926,410000,99.0,XW9,,,,1,T0,N,ZC0,-0.1732604666760052,3144 days,,A2
137,,X101304,510000,99.0,XW0,X1,,,1,T1,1,ZC4,-0.1732604666760052,2250 days,,A2
138,,X120726,510000,99.0,XW9,X1,,,1,T0,3,,-0.1732604666760052,2065 days,,A2
139,,X120922,510000,99.0,XW9,X1,,,1,T0,6,ZC3,-0.1732604666760052,2246 days,,A2
140,,X120526,610000,99.0,XW9,,,,1,T1,4,ZC9,-0.1732604666760052,2647 days,,A2
141,,X730831,370000,99.0,XW9,X1,,,1,T1,3,ZC9,-0.1732604666760052,2059 days,,A2
142,,X502601,450000,99.0,XW4,X1,,,1,T2,6,ZC9,-0.1732604666760052,2766 days,,A2
143,,X300503,230000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2964 days,,A2
144,,X130130,510000,99.0,XW4,X1,,,1,T4,3,ZC3,-0.1732604666760052,2140 days,,A2
145,,X103902,510000,99.0,XW0,X1,,,1,T2,5,ZC4,-0.1732604666760052,2239 days,,A2
146,,X600002,460000,99.0,XW9,,,,1,T0,5,ZC9,-0.1732604666760052,2857 days,,A2
147,A9,X210112,520000,30.0,XW0,,,B,2009,T0,N,ZC9,-0.1732604666760052,3366 days,,A2
148,,X580182,350000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3186 days,,A2
149,,X520621,450000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2989 days,,A2
150,,X123028,410000,99.0,XW0,,,,1,T2,3,ZC4,-0.1732604666760052,2661 days,,A2
151,,X280684,320000,99.0,XW9,X1,,,1,T0,6,ZC9,-0.1732604666760052,2039 days,,A2
152,,X780281,370000,99.0,XW0,X1,,,1,T2,5,ZC0,-0.1732604666760052,2130 days,,A2
153,,X101304,510000,40.0,XW9,X1,,,1,T2,5,ZC9,5.785453635792552,2152 days,,A2
154,,X580981,450000,30.0,XW0,,,B,2012,T2,4,ZC9,-0.1732604666760052,2811 days,,A2
155,,X130131,510000,99.0,XW0,X1,,,1,T2,4,ZC4,-0.1732604666760052,1991 days,,A2
156,,X320427,130000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3271 days,,A2
157,,X122826,410000,99.0,XW9,X1,,,1,T0,4,ZC0,-0.1732604666760052,2063 days,,A2
158,,X111011,510000,99.0,XW0,X1,,,1,T1,3,ZC9,-0.1732604666760052,2092 days,,A2
159,,X322525,530000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2982 days,,A2
160,,X333031,430000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2972 days,,A2
161,,X432233,140000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2972 days,,A2
162,,X300903,330000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2977 days,,A2
163,,X610311,360000,30.0,XW0,,,B,2008,T2,3,ZC9,-0.1732604666760052,2720 days,,A2
164,,X220223,120000,99.0,XW9,X1,,,1,T0,5,,-0.1732604666760052,2081 days,,A2
165,,X103701,510000,30.0,XW9,X1,,,2015,T1,3,ZC9,-0.1732604666760052,2111 days,,A2
166,,X520524,350000,99.0,XW9,,,,1,T0,N,ZC0,-0.1732604666760052,3206 days,,A2
167,,X721324,370000,99.0,XW9,,,,1,T0,4,ZC9,-0.1732604666760052,2983 days,,A2
168,,X110812,510000,99.0,XW9,X1,,,1,T0,6,,-0.1732604666760052,2983 days,,A2
169,,X330434,130000,99.0,XW0,X1,,,1,T2,5,ZC9,-0.1732604666760052,2173 days,,A2
170,,X410511,140000,99.0,XW0,,,,1,T1,3,ZC9,-0.1732604666760052,2654 days,,A2
171,,X120423,610000,99.0,XW9,,,,1,T2,3,ZC9,-0.1732604666760052,2676 days,,A2
172,,X320123,130000,99.0,XW0,X1,,,1,T2,1,ZC9,-0.1732604666760052,1989 days,,A2
173,,X111011,510000,30.0,XW0,X1,,B,2011,T2,3,ZC9,-0.1732604666760052,2340 days,,A2
174,,X381382,430000,99.0,XW9,,,,1,T0,1,,-0.1732604666760052,2957 days,,A2
175,,X330131,130000,99.0,XW0,X1,,,1,T1,6,ZC4,-0.1732604666760052,2009 days,,A2
176,,X123822,510000,99.0,XW9,X1,,,1,T1,5,ZC9,-0.1732604666760052,2144 days,,A2
177,A9,X220721,320000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3366 days,,A2
178,,X123823,510000,30.0,XW0,X1,,,2007,T1,N,ZC3,-0.1732604666760052,2138 days,,A2
179,,X123029,510000,99.0,XW9,X1,,,1,T1,5,ZC9,-0.1732604666760052,2106 days,,A2
180,,X322123,530000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3203 days,,A2
181,,X322128,530000,20.0,XW4,,,B,2019,T0,N,,-0.1732604666760052,3156 days,,A2
182,A9,X130430,610000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3376 days,,A2
183,,X120322,610000,99.0,XW0,,,,1,T1,6,ZC9,-0.1732604666760052,2670 days,,A2
184,,X323124,430000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,2741 days,,A0
185,,X101002,510000,80.0,XW0,X1,,,1,T1,4,ZC1,-0.1732604666760052,1923 days,,A2
186,,X425224,440000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3141 days,,A2
187,,X222324,520000,80.0,XW0,,,,1,T2,1,,-0.1732604666760052,2896 days,,A2
188,,X280881,220000,99.0,XW0,X1,,,1,T2,4,ZC9,-0.1732604666760052,1979 days,,A2
189,,X320222,130000,99.0,XW9,X1,,,1,T0,1,ZC9,-0.1732604666760052,2112 days,,A2
190,,X222124,520000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2982 days,,A2
191,,X320425,130000,99.0,XW0,X1,,,1,T2,5,ZC9,-0.1732604666760052,2135 days,,A2
192,,X220225,120000,99.0,XW0,X1,,,1,T1,5,ZC3,-0.1732604666760052,2172 days,,A2
193,,X180881,410000,30.0,XW0,,,B,2018,T0,1,ZC9,-0.1732604666760052,2416 days,,A2
194,,X209006,420000,99.0,XW9,X1,,,1,T0,4,ZC0,-0.1732604666760052,2020 days,,A2
195,,X120722,510000,30.0,XW0,X1,,,2015,T2,5,ZC0,-0.1732604666760052,2120 days,,A2
196,,X080383,500000,99.0,XW9,X1,,,1,T2,5,ZC9,-0.1732604666760052,2162 days,,A2
197,,X421322,440000,99.0,XW9,,,,1,T0,N,ZC3,-0.1732604666760052,3327 days,,A2
198,,X202701,520000,99.0,XW9,X1,,,1,T0,6,ZC9,-0.1732604666760052,2026 days,,A2
199,,X522528,450000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2945 days,,A2
200,,X020224,500000,99.0,XW0,X1,,,1,T2,0,ZC0,-0.1732604666760052,1956 days,,A2
201,A9,X420321,340000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3567 days,,A2
202,,X122326,510000,30.0,XW9,X1,,,1,T2,4,ZC9,5.720766345891553,1934 days,,A2
203,,X210117,420000,99.0,XW9,X1,,,1,T2,6,ZC9,-0.1732604666760052,2109 days,,A2
204,,X522628,150000,99.0,XW9,,,,1,T0,3,ZC9,-0.1732604666760052,2940 days,,A2
205,,X103701,510000,99.0,XW0,X1,,,1,T2,5,ZC9,-0.1732604666760052,2173 days,,A2
206,,X330530,130000,99.0,XW9,X1,,,1,T0,5,ZC9,-0.1732604666760052,2510 days,,A2
207,,X103701,510000,99.0,XW9,X1,,,1,T1,3,,-0.1732604666760052,1998 days,,A2
208,,X120522,510000,30.0,XW0,X1,,,2017,T1,1,,-0.1732604666760052,2122 days,,A2
209,A9,X481283,440000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3561 days,,A2
210,,X121522,410000,99.0,XW9,X1,,,1,T0,3,ZC9,-0.1732604666760052,2138 days,,A2
211,,X300302,130000,30.0,XW0,X1,,,2016,T0,3,ZC9,-0.1732604666760052,2024 days,,A2
212,,X222322,520000,99.0,XW9,,,,1,T0,5,,-0.1732604666760052,2692 days,,A2
213,,X722929,370000,99.0,XW9,X1,,,1,T0,3,ZC9,-0.1732604666760052,2145 days,,A2
214,,X121129,510000,99.0,XW0,X1,,,1,T1,5,ZC3,-0.1732604666760052,2038 days,,A2
215,,X222722,620000,40.0,XW0,X1,,,1,T1,4,ZC1,-0.1732604666760052,2796 days,,A2
216,,X422726,140000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2680 days,,A2
217,,X380381,430000,30.0,XW0,X1,,,2011,T0,0,ZC9,-0.1732604666760052,2167 days,,A2
218,,X120124,510000,20.0,XW4,X1,,,2016,T1,3,ZC9,-0.1732604666760052,2132 days,,A2
219,,X322628,530000,30.0,XW0,,,B,2020,T0,N,ZC9,-0.1732604666760052,3183 days,,A2
220,,X422725,140000,99.0,XW0,,,,1,T2,6,ZC4,-0.1732604666760052,2685 days,,A2
221,,X120321,510000,99.0,XW9,X1,,,1,T0,N,,-0.1732604666760052,3347 days,,A2
222,,X520128,350000,99.0,XW9,,,,1,T0,5,,-0.1732604666760052,2935 days,,A2
223,,X520425,150000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3256 days,,A2
224,,X120421,210000,99.0,XW9,,,,1,T0,3,ZC3,-0.1732604666760052,2940 days,,A2
225,,X280381,220000,99.0,XW0,X1,,,1,T2,1,ZC9,-0.1732604666760052,2775 days,,A2
226,,X222123,520000,60.0,XW9,,,,1,T1,4,ZC3,-0.1732604666760052,2983 days,C,A2
227,,X120522,410000,99.0,XW9,X1,,,1,T0,6,ZC9,-0.1732604666760052,1970 days,,A2
228,,X121622,510000,20.0,XW4,X1,,,2012,T1,4,ZC1,-0.1732604666760052,1971 days,,A2
229,A9,X280281,420000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3387 days,,A2
230,,X400204,340000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2972 days,,A2
231,A9,X701102,370000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3576 days,,A2
232,,X120623,510000,99.0,XW0,X1,,,1,T2,5,ZC4,-0.1732604666760052,2144 days,,A2
233,,X123521,510000,99.0,XW0,X1,,,1,T2,1,ZC4,-0.1732604666760052,2341 days,,A2
234,A1,X121528,510000,60.0,XW0,X1,,,1,T2,5,ZC3,-0.1732604666760052,2772 days,,A2
235,,X100304,510000,99.0,XW9,X1,,,1,T2,4,ZC9,-0.1732604666760052,2945 days,,A2
236,,X220723,220000,99.0,XW9,,,,1,T0,5,ZC9,-0.1732604666760052,2982 days,,A2
237,,X380481,130000,99.0,XW9,X1,,,1,T0,5,ZC9,-0.1732604666760052,2168 days,,A2
238,,X522528,450000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3136 days,,A2
239,,X120722,510000,99.0,XW9,X1,,,1,T1,6,ZC9,-0.1732604666760052,2120 days,,A2
240,,X123722,510000,99.0,XW0,X1,,,1,T1,3,ZC0,-0.1732604666760052,2027 days,,A2
241,,X330533,130000,99.0,XW0,X1,,,1,T1,1,ZC9,-0.1732604666760052,2196 days,,A2
242,,X420223,440000,30.0,XW0,,,B,2020,T0,N,,-0.1732604666760052,3299 days,,A2
243,,X520128,350000,99.0,XW0,,,,1,T2,1,ZC9,-0.1732604666760052,2685 days,,A2
244,,X101304,510000,30.0,XW9,X1,,,1,T1,1,ZC9,-0.1732604666760052,2301 days,,A2
245,,X122727,410000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3322 days,,A2
246,,X080384,500000,99.0,XW9,X1,,,1,T0,4,ZC9,-0.1732604666760052,2099 days,,A2
247,,X121322,510000,30.0,XW0,X1,,B,2016,T1,3,ZC9,-0.1732604666760052,2091 days,,A2
248,,X200102,120000,30.0,XW0,,,B,2008,T0,6,ZC9,-0.1732604666760052,2946 days,,A2
249,,X520923,450000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2950 days,,A2
250,,X520821,450000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2720 days,,A2
251,,X432431,140000,30.0,XW0,X1,,,2013,T1,6,ZC9,-0.1732604666760052,1972 days,,A2
252,,X620025,460000,60.0,XW0,,,,1,T0,3,ZC2,-0.1732604666760052,2904 days,,A2
253,,X620427,360000,99.0,XW9,X1,,,1,T0,1,ZC9,-0.1732604666760052,2235 days,,A2
254,,X422222,640000,60.0,XW0,,,,1,T0,6,ZC9,-0.1732604666760052,2919 days,,A2
255,,X200203,520000,99.0,XW9,,,,1,T0,1,,-0.1732604666760052,3060 days,,A2
256,,X420822,340000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3215 days,,A2
257,,X222226,520000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2976 days,,A2
258,,X321126,430000,99.0,XW9,X1,,,1,T0,0,ZC0,-0.1732604666760052,2123 days,,A2
259,,X522124,450000,99.0,XW9,X1,,,1,T1,6,ZC9,-0.1732604666760052,2509 days,,A2
260,A9,X330131,130000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3563 days,,A2
261,,X123322,510000,30.0,XW0,X1,,B,2019,T0,N,,-0.1732604666760052,3184 days,,A2
262,,X121623,510000,99.0,XW9,X1,,,1,T2,5,ZC9,-0.1732604666760052,2501 days,,A2
263,,X302503,430000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2983 days,,A2
